Geracao,ID_Original,Cromossomo,Distancia_KM,Tempo_H,Pedagio_R$
59,95,8 - 7 - 5 - 4 - 9 - 6 - 3 - 0 - 1 - 2,408.91,88.50,225.00
59,96,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
59,97,2 - 7 - 8 - 4 - 5 - 9 - 6 - 3 - 1 - 0,366.06,72.00,318.00
59,98,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
59,99,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
60,0,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
60,1,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
60,2,1 - 3 - 2 - 7 - 8 - 5 - 4 - 9 - 6 - 0,415.69,92.00,205.00
60,3,5 - 8 - 7 - 2 - 1 - 3 - 0 - 6 - 9 - 4,414.03,93.50,210.00
60,4,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
60,5,6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,424.26,85.50,217.00
60,6,1 - 3 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,391.36,84.00,275.00
60,7,8 - 7 - 5 - 4 - 9 - 6 - 3 - 0 - 1 - 2,408.91,88.50,225.00
60,8,1 - 3 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,391.36,84.00,275.00
60,9,5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2 - 4,378.60,68.00,371.00
60,10,7 - 8 - 4 - 5 - 9 - 6 - 3 - 0 - 1 - 2,368.86,68.50,327.00
60,11,8 - 7 - 5 - 4 - 9 - 6 - 3 - 1 - 0 - 2,406.12,92.00,216.00
60,12,9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,409.09,86.50,220.00
60,13,9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 4 - 5,368.86,68.50,327.00
60,14,5 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7 - 4,372.45,72.00,316.00
60,15,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
60,16,5 - 8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4,384.35,75.50,287.00
60,17,5 - 8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4,384.35,75.50,287.00
60,18,7 - 4 - 5 - 9 - 6 - 0 - 1 - 3 - 2 - 8,381.84,74.00,310.00
60,19,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
60,20,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
60,21,1 - 3 - 2 - 7 - 8 - 5 - 4 - 9 - 6 - 0,415.69,92.00,205.00
60,22,4 - 6 - 9 - 3 - 1 - 0 - 2 - 7 - 8 - 5,421.46,89.00,208.00
60,23,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
60,24,4 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 5,406.30,90.00,211.00
60,25,1 - 3 - 2 - 7 - 8 - 5 - 4 - 9 - 6 - 0,415.69,92.00,205.00
60,26,8 - 7 - 5 - 4 - 9 - 6 - 3 - 0 - 1 - 2,408.91,88.50,225.00
60,27,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
60,28,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
60,29,8 - 5 - 4 - 6 - 9 - 3 - 1 - 0 - 2 - 7,421.46,89.00,208.00
60,30,5 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 4,366.06,72.00,318.00
60,31,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
60,32,5 - 8 - 7 - 6 - 9 - 3 - 1 - 0 - 2 - 4,381.55,79.00,278.00
60,33,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
60,34,8 - 5 - 4 - 6 - 9 - 3 - 0 - 1 - 2 - 7,424.26,85.50,217.00
60,35,5 - 8 - 7 - 9 - 6 - 0 - 3 - 1 - 2 - 4,374.94,83.50,290.00
60,36,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
60,37,6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,424.26,85.50,217.00
60,38,7 - 8 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 4,373.70,73.50,315.00
60,39,8 - 5 - 4 - 6 - 9 - 3 - 1 - 0 - 2 - 7,421.46,89.00,208.00
60,40,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
60,41,5 - 8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4,384.35,75.50,287.00
60,42,8 - 7 - 4 - 5 - 9 - 6 - 3 - 0 - 1 - 2,375.24,68.50,325.00
60,43,5 - 8 - 7 - 6 - 9 - 3 - 1 - 0 - 2 - 4,381.55,79.00,278.00
